item,channel,attacker_stat,nominal_ar,defender_all_attributes,defense,pressure,penetration,reduction_percent
minecraft:iron_axe,SLASH,99,15.75,5,10.0000,0.10,0.940298507,5.970149
minecraft:iron_axe,SLASH,99,15.75,40,22.2500,0.10,0.876216968,12.378303
minecraft:iron_axe,SLASH,99,15.75,99,42.9000,0.10,0.785928144,21.407186
minecraft:netherite_axe,SLASH,5,10,5,10.0000,0.10,0.909090909,9.090909
minecraft:netherite_axe,SLASH,5,10,40,22.2500,0.10,0.817995910,18.200409
minecraft:netherite_axe,SLASH,5,10,99,42.9000,0.10,0.699790063,30.020994
minecraft:netherite_axe,SLASH,20,12.2613,5,10.0000,0.10,0.924592612,7.540739
minecraft:netherite_axe,SLASH,20,12.2613,40,22.2500,0.10,0.846406605,15.359340
minecraft:netherite_axe,SLASH,20,12.2613,99,42.9000,0.10,0.740805858,25.919414
minecraft:netherite_axe,SLASH,40,14.5226,5,10.0000,0.10,0.935577803,6.442220
minecraft:netherite_axe,SLASH,40,14.5226,40,22.2500,0.10,0.867145143,13.285486
minecraft:netherite_axe,SLASH,40,14.5226,99,42.9000,0.10,0.771961345,22.803865
minecraft:netherite_axe,SLASH,60,16.0302,5,10.0000,0.10,0.941280784,5.871922
minecraft:netherite_axe,SLASH,60,16.0302,40,22.2500,0.10,0.878116920,12.188308
minecraft:netherite_axe,SLASH,60,16.0302,99,42.9000,0.10,0.788880031,21.111997
minecraft:netherite_axe,SLASH,99,17.5,5,10.0000,0.10,0.945945946,5.405405
minecraft:netherite_axe,SLASH,99,17.5,40,22.2500,0.10,0.887198986,11.280101
minecraft:netherite_axe,SLASH,99,17.5,99,42.9000,0.10,0.803120698,19.687930
minecraft:bow,PIERCE,5,1,5,10.0000,0.10,0.500000000,50.000000
minecraft:bow,PIERCE,5,1,40,22.2500,0.10,0.310077519,68.992248
minecraft:bow,PIERCE,5,1,99,42.9000,0.10,0.189035917,81.096408
minecraft:bow,PIERCE,20,1.2412,5,10.0000,0.10,0.553810459,44.618954
minecraft:bow,PIERCE,20,1.2412,40,22.2500,0.10,0.358086666,64.191333
minecraft:bow,PIERCE,20,1.2412,99,42.9000,0.10,0.224399769,77.560023
minecraft:bow,PIERCE,40,1.4824,5,10.0000,0.10,0.597164035,40.283597
minecraft:bow,PIERCE,40,1.4824,40,22.2500,0.10,0.399848951,60.015105
minecraft:bow,PIERCE,40,1.4824,99,42.9000,0.10,0.256808260,74.319174
minecraft:bow,PIERCE,60,1.6432,5,10.0000,0.10,0.621670702,37.832930
minecraft:bow,PIERCE,60,1.6432,40,22.2500,0.10,0.424797063,57.520294
minecraft:bow,PIERCE,60,1.6432,99,42.9000,0.10,0.276950044,72.304996
minecraft:bow,PIERCE,99,1.8,5,10.0000,0.10,0.642857143,35.714286
minecraft:bow,PIERCE,99,1.8,40,22.2500,0.10,0.447204969,55.279503
minecraft:bow,PIERCE,99,1.8,99,42.9000,0.10,0.295566502,70.443350
minecraft:crossbow,PIERCE,5,1,5,10.0000,0.10,0.500000000,50.000000
minecraft:crossbow,PIERCE,5,1,40,22.2500,0.10,0.310077519,68.992248
minecraft:crossbow,PIERCE,5,1,99,42.9000,0.10,0.189035917,81.096408
minecraft:crossbow,PIERCE,20,1.2111,5,10.0000,0.10,0.547736421,45.226358
minecraft:crossbow,PIERCE,20,1.2111,40,22.2500,0.10,0.352463549,64.753645
minecraft:crossbow,PIERCE,20,1.2111,99,42.9000,0.10,0.220155969,77.984403
minecraft:crossbow,PIERCE,40,1.4221,5,10.0000,0.10,0.587135131,41.286487
minecraft:crossbow,PIERCE,40,1.4221,40,22.2500,0.10,0.389926243,61.007376
minecraft:crossbow,PIERCE,40,1.4221,99,42.9000,0.10,0.248962728,75.103727
minecraft:crossbow,PIERCE,60,1.5628,5,10.0000,0.10,0.609801779,39.019822
minecraft:crossbow,PIERCE,60,1.5628,40,22.2500,0.10,0.412587782,58.741222
minecraft:crossbow,PIERCE,60,1.5628,99,42.9000,0.10,0.267017496,73.298250
minecraft:crossbow,PIERCE,99,1.7,5,10.0000,0.10,0.629629630,37.037037
minecraft:crossbow,PIERCE,99,1.7,40,22.2500,0.10,0.433121019,56.687898
minecraft:crossbow,PIERCE,99,1.7,99,42.9000,0.10,0.283806344,71.619366
minecraft:trident,PIERCE,5,9,5,10.0000,0.10,0.900000000,10.000000
minecraft:trident,PIERCE,5,9,40,22.2500,0.10,0.801781737,19.821826
minecraft:trident,PIERCE,5,9,99,42.9000,0.10,0.677200903,32.279910
minecraft:trident,PIERCE,20,11.3065,5,10.0000,0.10,0.918742128,8.125787
minecraft:trident,PIERCE,20,11.3065,40,22.2500,0.10,0.835568858,16.443114
minecraft:trident,PIERCE,20,11.3065,99,42.9000,0.10,0.724938287,27.506171
minecraft:trident,PIERCE,40,13.6131,5,10.0000,0.10,0.931568250,6.843175
minecraft:trident,PIERCE,40,13.6131,40,22.2500,0.10,0.859515977,14.048402
minecraft:trident,PIERCE,40,13.6131,99,42.9000,0.10,0.760376695,23.962331
minecraft:trident,PIERCE,60,15.1508,5,10.0000,0.10,0.938083562,6.191644
minecraft:trident,PIERCE,60,15.1508,40,22.2500,0.10,0.871948342,12.805166
minecraft:trident,PIERCE,60,15.1508,99,42.9000,0.10,0.779330069,22.066993
minecraft:trident,PIERCE,99,16.65,5,10.0000,0.10,0.943342776,5.665722
minecraft:trident,PIERCE,99,16.65,40,22.2500,0.10,0.882119205,11.788079
minecraft:trident,PIERCE,99,16.65,99,42.9000,0.10,0.795128940,20.487106
minecraft:mace,STRIKE,5,6,5,10.0000,0.10,0.857142857,14.285714
minecraft:mace,STRIKE,5,6,40,25.7500,0.10,0.699708455,30.029155
minecraft:mace,STRIKE,5,6,99,52.3000,0.10,0.534283170,46.571683
minecraft:mace,STRIKE,20,7.4472,5,10.0000,0.10,0.881617577,11.838242
minecraft:mace,STRIKE,20,7.4472,40,25.7500,0.10,0.743070384,25.692962
minecraft:mace,STRIKE,20,7.4472,99,52.3000,0.10,0.587448332,41.255167
minecraft:mace,STRIKE,40,8.8945,5,10.0000,0.10,0.898933751,10.106625
minecraft:mace,STRIKE,40,8.8945,40,25.7500,0.10,0.775491521,22.450848
minecraft:mace,STRIKE,40,8.8945,99,52.3000,0.10,0.629721406,37.027859
minecraft:mace,STRIKE,60,9.8593,5,10.0000,0.10,0.907913033,9.208697
minecraft:mace,STRIKE,60,9.8593,40,25.7500,0.10,0.792911543,20.708846
minecraft:mace,STRIKE,60,9.8593,99,52.3000,0.10,0.653396778,34.660322
minecraft:mace,STRIKE,99,10.8,5,10.0000,0.10,0.915254237,8.474576
minecraft:mace,STRIKE,99,10.8,40,25.7500,0.10,0.807476636,19.252336
minecraft:mace,STRIKE,99,10.8,99,52.3000,0.10,0.673736744,32.626326
minecraft:wooden_pickaxe,PHYSICAL,5,2,5,10.0000,0.10,0.666666667,33.333333
minecraft:wooden_pickaxe,PHYSICAL,5,2,40,27.5000,0.10,0.421052632,57.894737
minecraft:wooden_pickaxe,PHYSICAL,5,2,99,57.0000,0.10,0.259740260,74.025974
minecraft:wooden_pickaxe,PHYSICAL,20,2.1206,5,10.0000,0.10,0.679548805,32.045120
minecraft:wooden_pickaxe,PHYSICAL,20,2.1206,40,27.5000,0.10,0.435387837,56.461216
minecraft:wooden_pickaxe,PHYSICAL,20,2.1206,99,57.0000,0.10,0.271155666,72.884433
minecraft:wooden_pickaxe,PHYSICAL,40,2.2412,5,10.0000,0.10,0.691472294,30.852771
minecraft:wooden_pickaxe,PHYSICAL,40,2.2412,40,27.5000,0.10,0.449030293,55.096971
minecraft:wooden_pickaxe,PHYSICAL,40,2.2412,99,57.0000,0.10,0.282224349,71.777565
minecraft:wooden_pickaxe,PHYSICAL,60,2.3216,5,10.0000,0.10,0.698940270,30.105973
minecraft:wooden_pickaxe,PHYSICAL,60,2.3216,40,27.5000,0.10,0.457764808,54.223519
minecraft:wooden_pickaxe,PHYSICAL,60,2.3216,99,57.0000,0.10,0.289418570,71.058143
minecraft:wooden_pickaxe,PHYSICAL,99,2.4,5,10.0000,0.10,0.705882353,29.411765
minecraft:wooden_pickaxe,PHYSICAL,99,2.4,40,27.5000,0.10,0.466019417,53.398058
minecraft:wooden_pickaxe,PHYSICAL,99,2.4,99,57.0000,0.10,0.296296296,70.370370
epicfight:bokken,PHYSICAL,5,4,5,10.0000,0.10,0.800000000,20.000000
epicfight:bokken,PHYSICAL,5,4,40,27.5000,0.10,0.592592593,40.740741
epicfight:bokken,PHYSICAL,5,4,99,57.0000,0.10,0.412371134,58.762887
epicfight:bokken,PHYSICAL,20,4.8442,5,10.0000,0.10,0.828890182,17.110982
epicfight:bokken,PHYSICAL,20,4.8442,40,27.5000,0.10,0.637881541,36.211846
epicfight:bokken,PHYSICAL,20,4.8442,99,57.0000,0.10,0.459418448,54.058155
epicfight:bokken,PHYSICAL,40,5.6884,5,10.0000,0.10,0.850487411,14.951259
epicfight:bokken,PHYSICAL,40,5.6884,40,27.5000,0.10,0.674108836,32.589116
epicfight:bokken,PHYSICAL,40,5.6884,99,57.0000,0.10,0.499490710,50.050929
epicfight:bokken,PHYSICAL,60,6.2513,5,10.0000,0.10,0.862093694,13.790631
epicfight:bokken,PHYSICAL,60,6.2513,40,27.5000,0.10,0.694488574,30.551143
epicfight:bokken,PHYSICAL,60,6.2513,99,57.0000,0.10,0.523064437,47.693556
epicfight:bokken,PHYSICAL,99,6.8,5,10.0000,0.10,0.871794872,12.820513
epicfight:bokken,PHYSICAL,99,6.8,40,27.5000,0.10,0.712041885,28.795812
epicfight:bokken,PHYSICAL,99,6.8,99,57.0000,0.10,0.544000000,45.600000
epicfight:iron_dagger,PIERCE,5,4,5,10.0000,0.10,0.800000000,20.000000
epicfight:iron_dagger,PIERCE,5,4,40,22.2500,0.10,0.642570281,35.742972
epicfight:iron_dagger,PIERCE,5,4,99,42.9000,0.10,0.482509047,51.749095
epicfight:iron_dagger,PIERCE,20,4.9045,5,10.0000,0.10,0.830637649,16.936235
epicfight:iron_dagger,PIERCE,20,4.9045,40,22.2500,0.10,0.687916404,31.208360
epicfight:iron_dagger,PIERCE,20,4.9045,99,42.9000,0.10,0.533416717,46.658328
epicfight:iron_dagger,PIERCE,40,5.809,5,10.0000,0.10,0.853135556,14.686444
epicfight:iron_dagger,PIERCE,40,5.809,40,22.2500,0.10,0.723052029,27.694797
epicfight:iron_dagger,PIERCE,40,5.809,99,42.9000,0.10,0.575205466,42.479453
epicfight:iron_dagger,PIERCE,60,6.4121,5,10.0000,0.10,0.865085468,13.491453
epicfight:iron_dagger,PIERCE,60,6.4121,40,22.2500,0.10,0.742390386,25.760961
epicfight:iron_dagger,PIERCE,60,6.4121,99,42.9000,0.10,0.599144093,40.085591
epicfight:iron_dagger,PIERCE,99,7,5,10.0000,0.10,0.875000000,12.500000
epicfight:iron_dagger,PIERCE,99,7,40,22.2500,0.10,0.758807588,24.119241
epicfight:iron_dagger,PIERCE,99,7,99,42.9000,0.10,0.620017715,37.998229
epicfight:diamond_dagger,PIERCE,5,5,5,10.0000,0.10,0.833333333,16.666667
epicfight:diamond_dagger,PIERCE,5,5,40,22.2500,0.10,0.692041522,30.795848
epicfight:diamond_dagger,PIERCE,5,5,99,42.9000,0.10,0.538213132,46.178687
epicfight:diamond_dagger,PIERCE,20,6.1307,5,10.0000,0.10,0.859761314,14.023869
epicfight:diamond_dagger,PIERCE,20,6.1307,40,22.2500,0.10,0.733714710,26.628529
epicfight:diamond_dagger,PIERCE,20,6.1307,99,42.9000,0.10,0.588319403,41.168060
epicfight:diamond_dagger,PIERCE,40,7.2613,5,10.0000,0.10,0.878953676,12.104632
epicfight:diamond_dagger,PIERCE,40,7.2613,40,22.2500,0.10,0.765451230,23.454877
epicfight:diamond_dagger,PIERCE,40,7.2613,99,42.9000,0.10,0.628613230,37.138677
epicfight:diamond_dagger,PIERCE,60,8.0151,5,10.0000,0.10,0.889074996,11.092500
epicfight:diamond_dagger,PIERCE,60,8.0151,40,22.2500,0.10,0.782716966,21.728303
epicfight:diamond_dagger,PIERCE,60,8.0151,99,42.9000,0.10,0.651364069,34.863593
epicfight:diamond_dagger,PIERCE,99,8.75,5,10.0000,0.10,0.897435897,10.256410
epicfight:diamond_dagger,PIERCE,99,8.75,40,22.2500,0.10,0.797266515,20.273349
epicfight:diamond_dagger,PIERCE,99,8.75,99,42.9000,0.10,0.671012270,32.898773
epicfight:netherite_dagger,PIERCE,5,6,5,10.0000,0.10,0.857142857,14.285714
epicfight:netherite_dagger,PIERCE,5,6,40,22.2500,0.10,0.729483283,27.051672
epicfight:netherite_dagger,PIERCE,5,6,99,42.9000,0.10,0.583090379,41.690962
epicfight:netherite_dagger,PIERCE,20,7.3568,5,10.0000,0.10,0.880336971,11.966303
epicfight:netherite_dagger,PIERCE,20,7.3568,40,22.2500,0.10,0.767788933,23.221107
epicfight:netherite_dagger,PIERCE,20,7.3568,99,42.9000,0.10,0.631658481,36.834152
epicfight:netherite_dagger,PIERCE,40,8.7136,5,10.0000,0.10,0.897051557,10.294844
epicfight:netherite_dagger,PIERCE,40,8.7136,40,22.2500,0.10,0.796591886,20.340811
epicfight:netherite_dagger,PIERCE,40,8.7136,99,42.9000,0.10,0.670091359,32.990864
epicfight:netherite_dagger,PIERCE,60,9.6181,5,10.0000,0.10,0.905821192,9.417881
epicfight:netherite_dagger,PIERCE,60,9.6181,40,22.2500,0.10,0.812126892,18.787311
epicfight:netherite_dagger,PIERCE,60,9.6181,99,42.9000,0.10,0.691546653,30.845335
epicfight:netherite_dagger,PIERCE,99,10.5,5,10.0000,0.10,0.913043478,8.695652
epicfight:netherite_dagger,PIERCE,99,10.5,40,22.2500,0.10,0.825147348,17.485265
epicfight:netherite_dagger,PIERCE,99,10.5,99,42.9000,0.10,0.709939148,29.006085
epicfight:wooden_greatsword,SLASH,5,12,5,10.0000,0.10,0.923076923,7.692308
epicfight:wooden_greatsword,SLASH,5,12,40,22.2500,0.10,0.843585237,15.641476
epicfight:wooden_greatsword,SLASH,5,12,99,42.9000,0.10,0.736648250,26.335175
epicfight:wooden_greatsword,SLASH,20,15.2563,5,10.0000,0.10,0.938485387,6.151461
epicfight:wooden_greatsword,SLASH,20,15.2563,40,22.2500,0.10,0.872721136,12.727886
epicfight:wooden_greatsword,SLASH,20,15.2563,99,42.9000,0.10,0.780521122,21.947888
epicfight:wooden_greatsword,SLASH,40,18.5126,5,10.0000,0.10,0.948751063,5.124894
epicfight:wooden_greatsword,SLASH,40,18.5126,40,22.2500,0.10,0.892706967,10.729303
epicfight:wooden_greatsword,SLASH,40,18.5126,99,42.9000,0.10,0.811863559,18.813644
epicfight:wooden_greatsword,SLASH,60,20.6834,5,10.0000,0.10,0.953881771,4.611823
epicfight:wooden_greatsword,SLASH,60,20.6834,40,22.2500,0.10,0.902874055,9.712595
epicfight:wooden_greatsword,SLASH,60,20.6834,99,42.9000,0.10,0.828217223,17.178278
epicfight:wooden_greatsword,SLASH,99,22.8,5,10.0000,0.10,0.957983193,4.201681
epicfight:wooden_greatsword,SLASH,99,22.8,40,22.2500,0.10,0.911088911,8.891109
epicfight:wooden_greatsword,SLASH,99,22.8,99,42.9000,0.10,0.841638981,15.836102
epicfight:iron_greatsword,SLASH,5,14,5,10.0000,0.10,0.933333333,6.666667
epicfight:iron_greatsword,SLASH,5,14,40,22.2500,0.10,0.862865948,13.713405
epicfight:iron_greatsword,SLASH,5,14,99,42.9000,0.10,0.765445599,23.455440
epicfight:iron_greatsword,SLASH,20,17.799,5,10.0000,0.10,0.946805681,5.319432
epicfight:iron_greatsword,SLASH,20,17.799,40,22.2500,0.10,0.888883340,11.111666
epicfight:iron_greatsword,SLASH,20,17.799,99,42.9000,0.10,0.805785685,19.421431
epicfight:iron_greatsword,SLASH,40,21.598,5,10.0000,0.10,0.955748296,4.425170
epicfight:iron_greatsword,SLASH,40,21.598,40,22.2500,0.10,0.906602863,9.339714
epicfight:iron_greatsword,SLASH,40,21.598,99,42.9000,0.10,0.834286156,16.571384
epicfight:iron_greatsword,SLASH,60,24.1307,5,10.0000,0.10,0.960208032,3.979197
epicfight:iron_greatsword,SLASH,60,24.1307,40,22.2500,0.10,0.915578034,8.442197
epicfight:iron_greatsword,SLASH,60,24.1307,99,42.9000,0.10,0.849053683,15.094632
epicfight:iron_greatsword,SLASH,99,26.6,5,10.0000,0.10,0.963768116,3.623188
epicfight:iron_greatsword,SLASH,99,26.6,40,22.2500,0.10,0.922810061,7.718994
epicfight:iron_greatsword,SLASH,99,26.6,99,42.9000,0.10,0.861120104,13.887990
epicfight:diamond_greatsword,SLASH,5,15,5,10.0000,0.10,0.937500000,6.250000
epicfight:diamond_greatsword,SLASH,5,15,40,22.2500,0.10,0.870827286,12.917271
epicfight:diamond_greatsword,SLASH,5,15,99,42.9000,0.10,0.777604977,22.239502
epicfight:diamond_greatsword,SLASH,20,19.0704,5,10.0000,0.10,0.950175383,4.982462
epicfight:diamond_greatsword,SLASH,20,19.0704,40,22.2500,0.10,0.895517342,10.448266
epicfight:diamond_greatsword,SLASH,20,19.0704,99,42.9000,0.10,0.816355884,18.364412
epicfight:diamond_greatsword,SLASH,40,23.1407,5,10.0000,0.10,0.958576180,4.142382
epicfight:diamond_greatsword,SLASH,40,23.1407,40,22.2500,0.10,0.912283122,8.771688
epicfight:diamond_greatsword,SLASH,40,23.1407,99,42.9000,0.10,0.843605887,15.639411
epicfight:diamond_greatsword,SLASH,60,25.8543,5,10.0000,0.10,0.962762016,3.723798
epicfight:diamond_greatsword,SLASH,60,25.8543,40,22.2500,0.10,0.920760133,7.923987
epicfight:diamond_greatsword,SLASH,60,25.8543,99,42.9000,0.10,0.857684537,14.231546
epicfight:diamond_greatsword,SLASH,99,28.5,5,10.0000,0.10,0.966101695,3.389831
epicfight:diamond_greatsword,SLASH,99,28.5,40,22.2500,0.10,0.927583401,7.241660
epicfight:diamond_greatsword,SLASH,99,28.5,99,42.9000,0.10,0.869167429,13.083257
epicfight:netherite_greatsword,SLASH,5,16,5,10.0000,0.10,0.941176471,5.882353
epicfight:netherite_greatsword,SLASH,5,16,40,22.2500,0.10,0.877914952,12.208505
